"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"PROFESOR HORAS CLASES","S/G","MAGISTER EN INNOVACION","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",750601
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y GEOGRAFIA","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",726123
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",284651
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","ESCUELA DE OBST Y PUERICULTURA",697553
"PROFESOR HORAS CLASES","S/G","MAGISTER EN ASENTAMIENTOS HUMANOS Y MEDIO AMBIENTE","HORAS CLASE","PROGRAMA BACHILLERATO",723750
"ADMINISTRATIVO","17","ADMINISTRATIVO DE REGISTRO CUR","ADMINISTRATIVO DE REGISTRO CUR","FACULTAD DE CIENCIAS MEDICAS",628007
"PROFESOR HORAS CLASES","S/G","MAGISTER ARTIUM EN LA MENCION DE HISTORIA","HORAS CLASE","DEPTO DE HISTORIA",300928
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y GEOGRAFIA","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",248723
"PROFESOR HORAS CLASES","S/G","MAGISTER EN ASENTAMIENTOS HUMANOS Y MEDIO AMBIENTE","HORAS CLASE","PROGRAMA BACHILLERATO",440930
"PROFESOR HORAS CLASES","S/G","DOCTOR EN ESTUDIOS AMERICANOS ESPECIALIDAD PENSAMIENTO Y CULTURA","HORAS CLASE","ESCUELA DE ARQUITECTURA",209568
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",284651
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",75907
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN MINAS","HORAS CLASE","DPTO INGENIERIA EN MINAS",210525
"PROFESOR HORAS CLASES","S/G","GEOGRAFO","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",362623
"PROFESOR HORAS CLASES","S/G","GEOGRAFO","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",12088
"PROFESOR HORAS CLASES","S/G","GEOGRAFO","HORAS CLASE","DPTO INGENIERIA GEOGRAFICA",362623
"PROFESIONALES","10","ANALISTA DE GESTION ESTRATEGIC","ANALISTA DE GESTION ESTRATEGIC","DEPTO. DE GESTION ESTRATEGICA",1491171
"PROFESOR HORAS CLASES","S/G","PUBLICISTA CON MENCION EN GESTION CREATIVA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",231901
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN FISICA Y MATEMATICA","HORAS CLASE","DEPARTAMENTO DE FISICA",284651
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","ESCUELA DE PSICOLOGIA",41182
"PROFESOR HORAS CLASES","S/G","PUBLICISTA CON MENCION EN GESTION CREATIVA","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",161283
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","ESCUELA DE PSICOLOGIA",47863
"PROFESOR HORAS CLASES","S/G","COMUNICADOR AUDIOVISUAL MENCION VIDEO","HORAS CLASE","DEPTO. DE PUBLICIDAD E IMAGEN",377309
"PROFESIONALES","8","ANALISTA DE PROYECTOS I","ANALISTA DE PROYECTOS I","UNIDAD DESARR. PROYECTOS TECN.",1475252
"ADMINISTRATIVO","10","SECRETARIA DE RECTOR","SECRETARIA DE RECTOR","RECTORIA",962841
"ADMINISTRATIVO","15","SECRETARIA DE DEPARTAMENTO","SECRETARIA DE DEPARTAMENTO","DEPARTAMENTO DE COMUNICACIONES",832854
"TECNICO","14","TECNICO EN ADMINISTRACION FINANCIERA","TECNICO CONTABLE","UNIDAD REGIST. ACAD Y CURRICUL",766752
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",869981
"PROFESOR HORAS CLASES","S/G","ARQUITECTO","HORAS CLASE","ESCUELA DE ARQUITECTURA",272453
"ACADEMICOS","6","MAGISTER EN CIENCIAS. MENCION ANATOMIA HUMANA","ACADEMICO","VICERRECTORIA ACADÉMICA",1949082
